account,points,anomalies
57.0 - BLD 17_7929632,88,6
57.0 - BLD 18_7929941,88,11
57.0 - BLD 19_7929582,88,5
57.0 - BLD 20_7929641,72,5
57.0 - BLD 21_7929636,88,6
57.0 - BLD 22_7929575,72,4
57.0 - BLD 23_7929921,88,6
57.0 - BLD 25_7929607,88,9
57.0 - BLD 26_7929876,88,7
57.0 - BLD 28_8362685,88,6
57.0 - BLD 29_8096646,88,9
57.0 - BLD 30_8096645,87,9
57.0 - BLD 35_7929890,87,9
57.0 - BLD 36_7929935,88,6
57.0 - BLD 37_7929924,88,7
57.0 - BLD 38_7929603,88,3
57.0 - BLD 39_7929938,88,4
57.0 - BLD 40_7929610,88,6
57.0 - BLD 41_7929937,88,3
58.0 - CARVER BLD 01_8572102,76,0
58.0 - CARVER BLD 02_8094994,75,2
58.0 - CARVER BLD 03_8094990,76,10
58.0 - CARVER BLD 04_8266721,76,0
58.0 - CARVER BLD 05_8094992,75,0
58.0 - CARVER BLD 06_8266722,76,1
58.0 - CARVER BLD 07_8094993,76,1
58.0 - CARVER BLD 08_8094989,76,0
58.0 - CARVER BLD 09_8266704,76,1
58.0 - CARVER BLD 10_8266711,76,1
58.0 - CARVER BLD 11_8094996,75,9
58.0 - CARVER BLD 12_8266723,76,1
58.0 - CARVER BLD 13_8266701,76,2
582.0 - DOUGLASS II BLD 13_8661722,101,0
582.0 - DOUGLASS II BLD 14_8661721,101,0
59.0 - BLD 01_8125755,76,5
59.0 - BLD 02_8125752,103,9
59.0 - BLD 03_7929943,103,11
59.0 - BLD 04_8301041,103,13
59.0 - BLD 05_8125756,103,16
59.0 - BLD 06_8125757,103,12
59.0 - BLD 07_7929588,103,10
59.0 - BLD 08_8301070,103,10
59.0 - BLD 09_8301039,103,10
59.0 - BLD 10_8125747,103,13
59.0 - BLD 11_8125748,76,9
59.0 - BLD 12_8125758,103,17
59.0 - BLD 13_8301040,103,11
59.0 - BLD 14_8301054,103,13
59.0 - BLD 15_8096391,103,15
6.0 - VLADECK BLD 01_8362640,103,9
6.0 - VLADECK BLD 02_8362646,103,12
6.0 - VLADECK BLD 03_8362643,103,9
6.0 - VLADECK BLD 04_8362645,103,8
6.0 - VLADECK BLD 05_8362647,103,15
6.0 - VLADECK BLD 06_8362644,103,10
6.0 - VLADECK BLD 07_8362638,103,12
6.0 - VLADECK BLD 08_8362675,103,12
6.0 - VLADECK BLD 09_8362674,103,14
6.0 - VLADECK BLD 10_8362673,103,13
6.0 - VLADECK BLD 11_8362676,103,14
6.0 - VLADECK BLD 12_8095301,103,12
6.0 - VLADECK BLD 13_8362666,103,13
6.0 - VLADECK BLD 14_8362677,103,13
6.0 - VLADECK BLD 15_8362667,103,13
6.0 - VLADECK BLD 16_8362649,103,11
6.0 - VLADECK BLD 17_8362668,103,12
6.0 - VLADECK BLD 18_8362648,65,5
6.0 - VLADECK BLD 18_8362671,65,4
6.0 - VLADECK BLD 19_8362642,103,9
6.0 - VLADECK BLD 20_8362672,103,11
60.0 - BARUCH BLD 01_7929545,89,4
60.0 - BARUCH BLD 02_7929540,88,5
60.0 - BARUCH BLD 03_7929541,88,5
60.0 - BARUCH BLD 04_7929999,88,7
60.0 - BARUCH BLD 05_8142781,89,6
60.0 - BARUCH BLD 06_7929539,88,6
60.0 - BARUCH BLD 07_8142793,88,6
60.0 - BARUCH BLD 07_8142999,88,5
60.0 - BARUCH BLD 08_8096617,89,5
60.0 - BARUCH BLD 09_7929559,88,6
60.0 - BARUCH BLD 10_7929561,88,6
60.0 - BARUCH BLD 11_8142786,88,5
60.0 - BARUCH BLD 13_8142990,88,4
60.0 - BARUCH BLD 14_7929556,88,7
60.0 - BARUCH BLD 15_8142797,88,5
60.0 - BARUCH BLD 16_8142792,89,5
60.0 - BARUCH BLD 17_7929553,89,7
60.0 - BLD 12_8746982,101,7
60.0 - BLD 13_5648168,103,4
61.0 - BLD 24_7424238,101,6
61.0 - VAN DYKE I BLD 02_8322414,101,2
61.0 - VAN DYKE I BLD 03_8322425,98,0
61.0 - VAN DYKE I BLD 04_8322422,101,5
61.0 - VAN DYKE I BLD 05_8322421,101,13
61.0 - VAN DYKE I BLD 06_8322423,101,0
61.0 - VAN DYKE I BLD 07_8322440,101,3
61.0 - VAN DYKE I BLD 08_8322438,101,4
61.0 - VAN DYKE I BLD 09_8322416,101,4
61.0 - VAN DYKE I BLD 10_8095217,101,20
61.0 - VAN DYKE I BLD 11_8322430,97,19
61.0 - VAN DYKE I BLD 12_8322432,98,0
61.0 - VAN DYKE I BLD 13_8322439,101,0
61.0 - VAN DYKE I BLD 14_8322429,101,5
61.0 - VAN DYKE I BLD 15_8322426,101,3
61.0 - VAN DYKE I BLD 17_8322427,101,2
61.0 - VAN DYKE I BLD 18_8095206,98,1
61.0 - VAN DYKE I BLD 19_8095209,101,5
61.0 - VAN DYKE I BLD 20_8095210,101,5
61.0 - VAN DYKE I BLD 21_8095308,98,7
61.0 - VAN DYKE I BLD 22_8095307,101,5
62.0 - WASHINGTON BLD 01_8094997,75,1
62.0 - WASHINGTON BLD 02_8661575,76,1
62.0 - WASHINGTON BLD 03_8266713,76,2
62.0 - WASHINGTON BLD 04_8094998,76,2
62.0 - WASHINGTON BLD 05_8095002,76,1
62.0 - WASHINGTON BLD 06_7833973,94,2
62.0 - WASHINGTON BLD 07_8095001,75,8
62.0 - WASHINGTON BLD 08_8094999,75,1
62.0 - WASHINGTON BLD 09_8266702,76,0
62.0 - WASHINGTON BLD 10_8094995,76,1
62.0 - WASHINGTON BLD 11_8095000,76,1
62.0 - WASHINGTON BLD 12_8266703,76,1
62.0 - WASHINGTON BLD 13_8266712,76,1
62.0 - WASHINGTON BLD 14_8266709,76,0
62.0 - WASHINGTON BLD 15_8266710,76,0
63.0 - BLD 01_8096643,86,6
63.0 - BLD 02_7929881,86,3
63.0 - BLD 03_7929956,86,4
63.0 - BLD 04_7929952,86,4
63.0 - BLD 05_8142994,86,5
63.0 - BLD 06_8142993,86,5
63.0 - BLD 07_8096618,86,5
63.0 - BLD 08_8096641,86,3
63.0 - BLD 09_7929879,86,3
63.0 - BLD 10_8096616,86,3
63.0 - BLD 11_8125318,86,0
63.0 - BLD 12_8142996,86,4
63.0 - BLD 13_8142995,86,2
63.0 - BLD 14_8096579,85,2
63.0 - BLD 15_8096642,86,1
63.0 - BLD 16_7929629,57,6
63.0 - BLD 17_8142991,86,5
63.0 - BLD 18_7929604,86,4
63.0 - BLD 19_7929861,86,4
63.0 - BLD 20_8096639,86,2
63.0 - BLD 21_8142992,86,5
63.0 - BLD 23_7929872,85,4
63.0 - BLD 23_8096644,86,4
63.0 - BLD 24_8095305,85,4
63.0 - BLD 25_8095222,85,3
63.0 - BLD 26_7929868,85,8
63.0 - BLD 27_8096615,85,6
63.0 - BLD 28_7929953,85,1
63.0 - BLD 29_8095306,85,5
64.0 - BLD 14_7834916,103,4
64.0 - JEFFERSON BLD 01_8093695,77,0
64.0 - JEFFERSON BLD 02_8093693,77,0
64.0 - JEFFERSON BLD 03_8093711,77,0
64.0 - JEFFERSON BLD 04_8093705,77,0
64.0 - JEFFERSON BLD 05_8093688,77,0
64.0 - JEFFERSON BLD 06_8093692,77,0
64.0 - JEFFERSON BLD 07_8093706,77,0
64.0 - JEFFERSON BLD 08_8093707,77,0
64.0 - JEFFERSON BLD 09_8093696,77,0
64.0 - JEFFERSON BLD 10_8093687,77,0
64.0 - JEFFERSON BLD 11_8093702,77,0
64.0 - JEFFERSON BLD 12_8093700,77,0
64.0 - JEFFERSON BLD 13_8093686,77,0
64.0 - JEFFERSON BLD 15_8093697,77,0
64.0 - JEFFERSON BLD 16_8093689,77,0
64.0 - JEFFERSON BLD 17_8093701,77,3
64.0 - JEFFERSON BLD 18_8093690,77,0
65.0 - BLD 01_7889951,103,7
65.0 - BLD 02_8095593,103,8
65.0 - BLD 03_7889966,103,6
65.0 - BLD 04_7889999,103,5
65.0 - BLD 09_7889954,101,7
65.0 - BLD 10_7890000,103,6
65.0 - BLD 11_7889980,103,4
65.0 - BLD 12_8095594,103,8
65.0 - BLD 13_8095586,103,7
66.0 - NA_8095488,99,3
66.0 - NA_8095490,99,4
66.0 - SOUTH JAMAICA II BLD 13_8095491,99,2
66.0 - SOUTH JAMAICA II BLD 14_8095484,99,1
66.0 - SOUTH JAMAICA II BLD 15_8095498,99,1
66.0 - SOUTH JAMAICA II BLD 16_8095502,99,1
66.0 - SOUTH JAMAICA II BLD 17_8095494,99,0
66.0 - SOUTH JAMAICA II BLD 18_8095500,99,3
66.0 - SOUTH JAMAICA II BLD 19_8095486,99,0
66.0 - SOUTH JAMAICA II BLD 20_8095499,99,0
66.0 - SOUTH JAMAICA II BLD 21_8095508,99,0
66.0 - SOUTH JAMAICA II BLD 22_8095509,99,6
66.0 - SOUTH JAMAICA II BLD 23_8095495,99,4
66.0 - SOUTH JAMAICA II BLD 24_8095506,99,1
66.0 - SOUTH JAMAICA II BLD 25_8095510,99,2
66.0 - SOUTH JAMAICA II BLD 27_8095496,99,3
67.0 - BLD 01_8322417,67,6
67.0 - BLD 01_8362723,67,5
67.0 - BLD 02_8322442,67,5
67.0 - BLD 02_8362703,67,7
67.0 - BLD 04_8322444,103,20
67.0 - BLD 05_8322443,103,20
67.0 - BLD 06_8322419,103,20
67.0 - BLD 07_8362724,103,20
67.0 - BLD 08_8362627,103,20
67.0 - BLD 09_8322420,103,20
67.0 - BLD 11_8362725,103,15
67.0 - BLD 12_8362705,103,19
67.0 - BLD 13_8362722,103,14
67.0 - BLD 14_8322418,103,19
67.0 - BLD 15_8362626,103,20
67.0 - BLD 16_8362628,103,20
67.0 - BLD 17_8362717,103,20
67.0 - BLD 18_8362714,103,20
67.0 - BLD 19_8362716,103,20
67.0 - BLD 21_8362702,103,12
67.0 - BLD 22_8362690,103,18
67.0 - BLD 23_8362692,103,12
67.0 - BLD 24_8362691,103,19
67.0 - BLD 25_8362693,103,15
67.0 - BLD 26_8322441,103,19
67.0 - BLD 27_8362704,103,20
67.0 - BLD 28_8362715,103,20
67.0 - BLD 31 - Community Center_8350391,68,1
68.0 - BLD 01_8125375,100,1
68.0 - BLD 02_8125387,100,18
68.0 - BLD 03_8125315,100,18
68.0 - BLD 04_8125369,100,19
68.0 - BLD 05_8125314,100,19
68.0 - BLD 06_8125381,100,17
68.0 - BLD 07_8125312,100,18
68.0 - BLD 08_8125329,100,18
68.0 - BLD 09_8125311,100,18
68.0 - BLD 10_8125371,100,18
68.0 - BLD 11_8125372,100,20
68.0 - BLD 12_8125379,100,2
68.0 - BLD 13_8125330,100,0
68.0 - BLD 14_8125367,100,18
68.0 - BLD 15_8125328,100,18
69.0 - BLD 01_7833993,103,7
69.0 - BLD 02_7833949,103,9
69.0 - BLD 03_7833951,103,7
69.0 - BLD 04_7833955,103,6
69.0 - BLD 05_7833952,103,4
69.0 - BLD 06_7833956,103,2
69.0 - BLD 07_8009844,103,2
69.0 - BLD 08_7833957,103,7
69.0 - BLD 09_7833947,103,6
69.0 - BLD 10_8009845,103,6
69.0 - BLD 11_8009850,103,3
7.0 - VLADECK II BLD 21_8362670,103,12
7.0 - VLADECK II BLD 22_8362639,91,6
7.0 - VLADECK II BLD 23_8362669,103,14
70.0 - BLD 02_8095178,85,14
70.0 - BLD 03_8095175,85,0
70.0 - BLD 04_8095176,85,2
70.0 - BLD 05_8095183,85,13
70.0 - BLD 06_8095185,85,2
70.0 - BLD 07_8095172,85,17
70.0 - BLD 08_8095184,85,6
70.0 - BLD 09_8095181,85,13
70.0 - BLD 13_8095186,85,13
70.0 - BLD 14_8095174,85,9
70.0 - BLD 15_8095171,85,10
71.0 - SOUNDVIEW BLD 01_8322410,66,4
71.0 - SOUNDVIEW BLD 02_8362641,66,4
71.0 - SOUNDVIEW BLD 03_8362601,66,4
71.0 - SOUNDVIEW BLD 04_8322341,66,4
71.0 - SOUNDVIEW BLD 05_8362636,66,5
71.0 - SOUNDVIEW BLD 06_8362637,66,4
71.0 - SOUNDVIEW BLD 07_8362633,66,6
71.0 - SOUNDVIEW BLD 08_8322350,66,2
71.0 - SOUNDVIEW BLD 09_8362599,66,4
71.0 - SOUNDVIEW BLD 11_8362631,66,3
71.0 - SOUNDVIEW BLD 12_8362600,66,4
71.0 - SOUNDVIEW BLD 13_8362598,66,4
72.0 - BLD 01_7466814,103,12
72.0 - BLD 02_7250717,103,14
72.0 - BLD 03_7693367,103,18
72.0 - BLD 04_7382865,103,16
72.0 - BLD 05_7372790,103,15
72.0 - BLD 06_7284635,103,15
72.0 - BLD 07_7284625,103,15
72.0 - BLD 09_7372650,103,13
72.0 - BLD 10_7284664,103,14
73.0 - BLD 01 - Community Center_7424132,103,4
73.0 - BLD 02_8321869,100,15
73.0 - BLD 03_8321900,100,17
73.0 - BLD 04_8322217,100,14
73.0 - BLD 05_8321970,100,15
73.0 - BLD 07_7424148,92,6
73.0 - BLD 08_8095164,100,18
73.0 - BLD 10_8321872,100,16
73.0 - BLD 12_8321888,100,15
74.0 - BLD 01_8096718,76,11
74.0 - BLD 02_8096689,76,10
74.0 - BLD 03_8096710,76,9
74.0 - BLD 05_8096698,76,10
74.0 - BLD 06_8096706,76,9
74.0 - BLD 07_8096713,77,12
74.0 - BLD 08_8266793,76,11
74.0 - BLD 09_8096707,76,9
74.0 - BLD 10_8266786,76,11
74.0 - BLD 11_8096695,76,9
74.0 - BLD 12_8572086,76,13
74.0 - BLD 13_8266796,76,11
74.0 - BLD 14_8266795,76,11
74.0 - BLD 15_8096699,76,10
74.0 - BLD 16_8096697,77,10
74.0 - BLD 17_8096702,76,9
74.0 - BLD 18_8096691,76,9
74.0 - BLD 18_8096716,76,11
74.0 - BLD 19_8096701,76,12
74.0 - BLD 20_8096711,76,10
74.0 - BLD 21_8096703,76,11
74.0 - BLD 22_8096687,76,10
75.0 - BLD 01_301226,88,7
75.0 - BLD 08_99268475,103,0
76.0 - BLD 02_8362661,100,10
76.0 - BLD 03_8362658,100,7
76.0 - BLD 04_8322091,100,9
76.0 - BLD 05_8362659,63,8
76.0 - BLD 05_8362660,63,7
76.0 - BLD 06_8322371,100,8
76.0 - BLD 07_8322370,100,8
76.0 - BLD 08_8322368,100,9
76.0 - BLD 09_8362655,100,8
77.0 - BLD 03_7383346,103,6
77.0 - BLD 04_7383356,103,3
77.0 - BLD 05_5922312,101,3
77.0 - BLD 06_6654896,103,4
77.0 - NA_7125034,52,10
78.0 - BLD 01_7929647,103,3
78.0 - BLD 02_7889940,103,6
78.0 - BLD 03_8010017,103,4
78.0 - BLD 05_7929658,103,6
78.0 - BLD 06_7929660,103,2
8.0 - SOUTH JAMAICA I BLD 01_8095489,99,2
8.0 - SOUTH JAMAICA I BLD 02_8095487,99,5
8.0 - SOUTH JAMAICA I BLD 03_8095492,99,5
8.0 - SOUTH JAMAICA I BLD 04_8095503,99,1
8.0 - SOUTH JAMAICA I BLD 05_8095501,99,0
8.0 - SOUTH JAMAICA I BLD 06_8095505,99,0
8.0 - SOUTH JAMAICA I BLD 07_8095507,99,3
8.0 - SOUTH JAMAICA I BLD 08_8095497,99,7
8.0 - SOUTH JAMAICA I BLD 09_8095493,99,0
8.0 - SOUTH JAMAICA I BLD 10_8095504,99,3
8.0 - SOUTH JAMAICA I BLD 11_8095485,99,4
80.0 - BLD 01_8350750,103,0
80.0 - BLD 02_8350751,103,3
80.0 - BLD 03_8350749,103,2
80.0 - BLD 04_8322192,103,4
80.0 - BLD 05_8350748,102,0
80.0 - BLD 06_8350746,103,3
80.0 - BLD 07_8350747,103,2
80.0 - BLD 08_8350752,103,1
80.0 - BLD 09_8350181,103,5
80.0 - BLD 10_8349971,103,0
80.0 - BLD 11_8350753,101,5
80.0 - BLD 12_8350180,103,4
80.0 - BLD 13_8350133,103,3
80.0 - BLD 14_8350179,103,1
81.0 - BLD 01_6251008,103,7
81.0 - BLD 02_6251015,103,4
81.0 - BLD 03_8256039,74,5
81.0 - BLD 04_7976396,103,5
81.0 - BLD 05_7834091,96,15
81.0 - BLD 06_6432604,103,7
82.0 - DOUGLASS I BLD 16_8322353,101,0
82.0 - DOUGLASS I BLD 17_8322358,101,0
83.0 - BLD 04_8300971,103,0
83.0 - BLD 05_8300952,103,0
83.0 - BLD 06_8300979,103,0
83.0 - BLD 07_8300981,103,0
83.0 - BLD 08_8125373,103,0
83.0 - BLD 09_8267453,103,0
83.0 - BLD 10_8300978,103,0
83.0 - BLD 11_8300998,103,0
83.0 - BLD 12_8267454,103,0
83.0 - BLD 13_8300970,102,0
83.0 - BLD 14_8300968,103,0
83.0 - BLD 15_8300988,103,0
83.0 - BLD 16_8300974,103,0
83.0 - BLD 17_8300992,103,0
83.0 - BLD 18_8300996,103,0
83.0 - BLD 19_8267456,103,0
83.0 - BLD 20_8300995,103,0
83.0 - BLD 21_8300972,103,0
83.0 - BLD 22_8300973,103,0
83.0 - BLD 23_8300967,103,0
83.0 - BLD 24_8300991,103,0
83.0 - BLD 25_8300980,103,0
83.0 - BLD 26_8300993,103,0
83.0 - BLD 27_8300976,103,0
83.0 - BLD 28_8300994,103,0
83.0 - BLD 29_8300975,103,0
84.0 - BLD 01_8125779,86,8
84.0 - BLD 02_8125783,86,8
84.0 - BLD 03_8125767,86,9
84.0 - BLD 04_8125769,86,7
84.0 - BLD 05_8125770,86,7
84.0 - BLD 06_8096608,86,12
84.0 - BLD 07_8125768,103,4
84.0 - BLD 08_8125771,86,4
84.0 - BLD 09_8125778,103,7
85.0 - ALBANY II BLD 07_6026253,76,9
85.0 - ALBANY II BLD 08_5081862,76,10
85.0 - ALBANY II BLD 09_5081863,76,6
86.0 - BLD 01_7141435,100,8
86.0 - BLD 02_7166147,101,4
86.0 - BLD 03_7161621,101,12
86.0 - BLD 04_7161630,101,15
86.0 - BLD 05_7141437,100,7
86.0 - BLD 06_7161622,101,3
86.0 - BLD 07_7161620,101,16
86.0 - BLD 08_7161619,100,5
87.0 - BLD 01_8142958,63,5
87.0 - BLD 02_8142945,63,9
87.0 - BLD 03_8142943,63,4
87.0 - BLD 04_8142959,63,3
87.0 - BLD 05_8142967,63,6
87.0 - BLD 06_8142944,63,6
87.0 - BLD 07_8142973,63,5
87.0 - BLD 08_8142946,63,4
87.0 - BLD 09_8142960,63,5
88.0 - BLD 01_8350206,68,5
88.0 - BLD 01_8350351,68,3
88.0 - BLD 03_8350353,68,4
88.0 - BLD 04_8349970,69,2
88.0 - BLD 05_8350205,68,5
88.0 - BLD 06_8350352,68,7
88.0 - BLD 07_8350346,68,6
88.0 - BLD 08_8349973,103,17
88.0 - BLD 09_8350348,68,4
88.0 - BLD 10_8350350,68,4
88.0 - BLD 11_8350347,103,4
88.0 - BLD 12_8350132,103,8
89.0 - BLD 01_8231994,102,6
89.0 - BLD 02_8232066,68,10
89.0 - BLD 03_8232047,103,8
89.0 - BLD 04_8232045,103,9
89.0 - BLD 05_8232057,103,11
89.0 - BLD 06_8232046,103,9
89.0 - BLD 07_7719184,103,4
89.0 - BLD 08_7573701,103,1
89.0 - BLD 09_8232056,103,7
89.0 - BLD 10_8232055,69,4
89.0 - BLD 11_8232067,103,8
89.0 - BLD 12_8232065,68,6
89.0 - BLD 13_6774512,103,2
89.0 - BLD 14_6356892,102,4
89.0 - BLD 15_6432246,103,2
89.0 - BLD 16_7719133,103,2
89.0 - BLD 17_7271963,103,6
89.0 - BLD 18_7695016,103,8
89.0 - BLD 19_7504980,101,4
89.0 - BLD 20_5537192,103,3
89.0 - BLD 21_7725428,103,4
89.0 - BLD 22_6598841,103,3
89.0 - BLD 23 - Community Center_7861436,103,6
9.0 - BLD 01_7929671,100,12
9.0 - BLD 01_7930059,100,11
9.0 - BLD 02_7929699,100,11
9.0 - BLD 03_7929680,100,10
9.0 - BLD 04_7929694,100,11
9.0 - BLD 05_7930054,100,10
9.0 - BLD 06_7929579,100,13
9.0 - BLD 07_7930053,101,18
9.0 - BLD 08_7930046,100,17
9.0 - BLD 09_8362678,64,11
9.0 - BLD 10_7930041,100,11
91.0 - BLD 01_6147322,60,5
91.0 - BLD 02_6148190,54,2
91.0 - BLD 03_7874338,103,3
92.0 - BLD 11_7692864,65,13
92.0 - BLD 15_5706695,65,13
92.0 - BLD 16_7161509,65,13
92.0 - BLD 17_5178135,65,5
92.0 - BLD 20_6316120,65,13
92.0 - BLD 21_6853046,65,10
92.0 - BLD 22_6815165,65,3
92.0 - BLD 25 - Community Center_8078351,101,2
93.0 - BLD 01_7890040,103,7
93.0 - BLD 02 - Community Center_6938198,102,8
93.0 - BLD 02_8008779,103,5
93.0 - BLD 03_8008789,103,2
93.0 - BLD 04_7890050,103,5
93.0 - BLD 05_7929777,103,6
93.0 - BLD 06_8075321,103,8
96.0 - BLD 01_5922430,103,9
96.0 - BLD 02_8802096,103,9
96.0 - BLD 03_8072599,98,1
96.0 - BLD 04_6867055,103,5
96.0 - BLD 05_5922332,102,3
96.0 - BLD 06_8072600,103,6
96.0 - BLD 07_7719186,103,6
96.0 - BLD 08_5922010,103,10
97.0 - BLD 01_6689046,103,4
97.0 - BLD 02_6647840,103,2
97.0 - BLD 03_8205892,76,0
97.0 - BLD 04_6623223,103,4
97.0 - BLD 05_6852189,103,4
97.0 - BLD 09_6458213,103,2
97.0 - BLD 09_6852169,95,11
97.0 - BLD 10 - Community Center_7294308,98,3
97.0 - BLD 10 - Community Center_7694984,103,5
98.0 - BLD 14_99800010,58,6
98.0 - BLD 15_99275963,102,20
98.0 - BLD 15_99277502,102,20
99.0 - BLD 01_7574708,103,7
99.0 - BLD 02_7165928,101,4
99.0 - BLD 03_7861469,101,7
99.0 - BLD 04_7382884,102,6
99.0 - BLD 05_7574878,103,4
999.0 - BLD 04_6774523,61,4
999.0 - BLD 07_5911415,61,3
999.0 - BLD 07_6852194,61,7
999.0 - BLD 08_6147920,61,1
